월,경제활동참가율
1999.06,49
1999.07,48.7
1999.08,48.1
1999.09,49.2
1999.1,49.5
1999.11,49.1
1999.12,47.6
2000.01,46.5
2000.02,46.8
2000.03,47.8
2000.04,48.8
2000.05,49.6
2000.06,49.7
2000.07,49.8
2000.08,49.1
2000.09,49.8
2000.1,50
2000.11,49.4
2000.12,47.9
2001.01,46.9
2001.02,46.9
2001.03,48.4
2001.04,49.9
2001.05,50.5
2001.06,50.3
2001.07,50.1
2001.08,49.4
2001.09,50.2
2001.1,50.5
2001.11,50.3
2001.12,48.9
2002.01,48.1
2002.02,48.3
2002.03,49.3
2002.04,50.6
2002.05,51
2002.06,50.9
2002.07,50.6
2002.08,49.8
2002.09,50.5
2002.1,50.6
2002.11,49.9
2002.12,48.7
2003.01,47.5
2003.02,47.2
2003.03,48.4
2003.04,49.2
2003.05,49.9
2003.06,49.9
2003.07,50
2003.08,49
2003.09,49.5
2003.1,49.9
2003.11,49.7
2003.12,48.5
2004.01,48.4
2004.02,48.9
2004.03,49.9
2004.04,50.8
2004.05,50.8
2004.06,50.9
2004.07,50.8
2004.08,49.6
2004.09,50.9
2004.1,50.9
2004.11,50.4
2004.12,49.5
2005.01,48.5
2005.02,48.5
2005.03,49.7
2005.04,50.6
2005.05,51.2
2005.06,51.2
2005.07,51
2005.08,49.9
2005.09,51
2005.1,51.3
2005.11,50.9
2005.12,49.4
2006.01,49.1
2006.02,49
2006.03,49.9
2006.04,50.8
2006.05,51.4
2006.06,51.5
2006.07,51.2
2006.08,50.2
2006.09,50.9
2006.1,51.3
2006.11,51.1
2006.12,49.6
2007.01,49.1
2007.02,48.8
2007.03,49.8
2007.04,50.9
2007.05,51.4
2007.06,51.5
2007.07,51.2
2007.08,50.1
2007.09,50.8
2007.1,51.2
2007.11,51.1
2007.12,49.5
2008.01,48.8
2008.02,48.7
2008.03,49.6
2008.04,50.7
2008.05,51.3
2008.06,51.4
2008.07,50.9
2008.08,49.9
2008.09,50.5
2008.1,50.8
2008.11,50.6
2008.12,48.9
2009.01,47.9
2009.02,47.7
2009.03,48.5
2009.04,49.6
2009.05,50
2009.06,50.7
2009.07,50.2
2009.08,49.5
2009.09,49.9
2009.1,50.1
2009.11,49.6
2009.12,47.9
2010.01,47.9
2010.02,47.8
2010.03,48.8
2010.04,50
2010.05,50.6
2010.06,50.9
2010.07,50.8
2010.08,49.8
2010.09,50.1
2010.1,50.1
2010.11,49.6
2010.12,48.5
2011.01,47.5
2011.02,48.1
2011.03,49.2
2011.04,50.3
2011.05,51.2
2011.06,51.4
2011.07,50.9
2011.08,50.1
2011.09,49.7
2011.1,50.5
2011.11,50.1
2011.12,48.7
2012.01,48
2012.02,48.5
2012.03,49.6
2012.04,50.8
2012.05,51.6
2012.06,51.5
2012.07,51.1
2012.08,50.2
2012.09,50.6
2012.1,50.6
2012.11,50.2
2012.12,48.7
2013.01,48
2013.02,48.2
2013.03,49.2
2013.04,50.6
2013.05,51.3
2013.06,51.5
2013.07,51.4
2013.08,50.8
2013.09,51.1
2013.1,51.3
2013.11,51.1
2013.12,49.6
2014.01,49.2
2014.02,50.2
2014.03,50.8
2014.04,52
2014.05,52.3
2014.06,52.4
2014.07,52.4
2014.08,52
2014.09,52
2014.1,52.1
2014.11,52
2014.12,50.5
2015.01,50
2015.02,50.8
2015.03,51.1
2015.04,51.9
2015.05,52.7
2015.06,52.8
2015.07,52.7
2015.08,52.2
2015.09,52.5
2015.1,52.5
2015.11,52.3
2015.12,51.3
2016.01,50.4
2016.02,51.2
2016.03,51.4
2016.04,52.2
2016.05,52.8
2016.06,53
2016.07,52.8
2016.08,52.7
2016.09,52.7
2016.1,52.7
2016.11,52.6
2016.12,51.5
2017.01,50.7
2017.02,51.7
2017.03,52.3
2017.04,53
2017.05,53.2
2017.06,53.4
2017.07,53.3
2017.08,53.1
2017.09,53.2
2017.1,53.2
2017.11,53
2017.12,51.9
2018.01,51.1
2018.02,51.5
2018.03,52.6
2018.04,53.2
2018.05,53.6
2018.06,53.7
2018.07,53.5
2018.08,53.3
2018.09,53.5
2018.1,53.4
2018.11,53.4
2018.12,51.8
2019.01,51.7
2019.02,52.1
2019.03,52.8
2019.04,53.6
2019.05,54.2
2019.06,54.4
2019.07,54.2
2019.08,53.6
2019.09,53.9
2019.1,54.1
2019.11,54
2019.12,53.1
2020.01,52.9
2020.02,52.9
2020.03,52.1
2020.04,52
2020.05,53.2
2020.06,53.5
2020.07,53.4
2020.08,52.7
2020.09,52.7
2020.1,52.9
2020.11,53.3
2020.12,51.8
2021.01,51.1
2021.02,51.8
2021.03,52.7
2021.04,53.4
2021.05,54.2
2021.06,54.4
2021.07,54
2021.08,53.4
2021.09,53.7
2021.1,53.8
2021.11,53.6
2021.12,52.9
2022.01,52.5
2022.02,53.2
2022.03,53.8
2022.04,54.6
2022.05,55.6
2022.06,55.6
2022.07,55.5
2022.08,54.8
2022.09,55.1
2022.1,55
2022.11,55.1
2022.12,54.2
2023.01,53.6
2023.02,54.2
2023.03,55.2
2023.04,55.7
2023.05,56.7
2023.06,56.7
2023.07,56.4
2023.08,55.8
2023.09,56
2023.1,56
2023.11,56
2023.12,55.1
2024.01,54.7
2024.02,55.1
2024.03,55.9
2024.04,56.8
2024.05,57.2
2024.06,57.2
2024.07,56.9
2024.08,56.4
2024.09,56.7
2024.1,56.8
2024.11,56.6
